Agency,Agency_Type,Distribution_Channel,Product_Name,Duration,Destination,Net_Sales,Commision,Age
3,1,0,12,186,79,-29.0,9.57,81
3,1,0,12,186,79,-29.0,9.57,71
6,1,1,16,65,4,-49.5,29.7,32
6,1,1,16,60,4,-39.6,23.76,32
6,1,1,16,79,61,-19.8,11.88,41
9,0,1,25,66,140,-121.0,42.35,44
6,1,1,16,47,140,-39.6,23.76,32
6,1,1,16,63,4,-108.9,65.34,29
6,1,1,16,57,129,-19.8,11.88,44
6,1,1,16,186,4,-99.0,59.4,37
9,0,1,8,33,67,-26.0,9.1,118
9,0,1,8,1,79,-18.0,6.3,47
10,1,1,15,53,96,-130.0,49.4,48
6,1,1,16,5,79,-39.6,23.76,64
7,1,1,1,39,145,-25.0,0.0,36
6,1,1,16,6,32,-19.8,11.88,53
6,1,1,16,48,32,-79.2,47.52,43
6,1,1,16,11,140,-29.7,17.82,58
9,0,1,8,3,79,-18.0,6.3,47
6,1,1,16,14,129,-69.3,41.58,37
6,1,1,16,136,96,-108.9,65.34,32
2,0,1,9,12,118,46.15,11.54,44
2,0,1,9,7,118,17.55,4.39,25
2,0,1,9,12,118,94.0,23.5,34
2,0,1,17,190,118,294.75,73.69,26
2,0,1,4,364,118,389.0,97.25,30
6,1,1,16,29,140,9.9,5.94,33
6,1,1,16,28,140,9.9,5.94,33
6,1,1,16,153,63,69.3,41.58,35
6,1,1,16,28,139,19.8,11.88,31
6,1,1,16,4,139,29.7,17.82,61
6,1,1,16,54,4,0.0,41.58,31
6,1,1,16,24,4,89.1,53.46,33
7,1,1,1,9,57,25.0,0.0,36
7,1,1,1,12,79,24.0,0.0,36
7,1,1,1,45,79,20.0,0.0,36
7,1,1,1,35,56,27.0,0.0,36
7,1,1,1,28,129,20.0,0.0,44
7,1,1,1,24,26,43.0,0.0,36
7,1,1,1,8,41,78.0,0.0,36
7,1,1,1,183,57,20.0,0.0,36
7,1,1,1,36,126,22.0,0.0,20
7,1,1,1,3,145,27.0,0.0,46
7,1,1,1,38,118,41.0,0.0,36
7,1,1,1,36,140,95.0,0.0,49
7,1,1,1,4,129,20.0,0.0,50
7,1,1,1,3,79,20.0,0.0,36
7,1,1,1,13,129,35.0,0.0,36
7,1,1,1,11,102,43.0,0.0,36
7,1,1,1,27,57,20.0,0.0,62
7,1,1,1,16,88,47.0,0.0,36
7,1,1,1,12,26,29.0,0.0,36
7,1,1,1,39,57,20.0,0.0,46
7,1,1,1,19,79,20.0,0.0,46
7,1,1,1,18,53,30.0,0.0,36
7,1,1,1,189,79,20.0,0.0,46
7,1,1,1,105,63,44.0,0.0,25
7,1,1,1,23,68,57.0,0.0,36
7,1,1,1,57,138,37.0,0.0,36
7,1,1,1,29,126,46.0,0.0,36
7,1,1,10,1,56,10.0,0.0,36
7,1,1,10,15,88,16.0,0.0,36
7,1,1,10,16,63,28.0,0.0,65
7,1,1,10,180,102,21.0,0.0,36
7,1,1,10,90,53,37.0,0.0,36
7,1,1,10,91,102,18.0,0.0,36
7,1,1,10,2,118,14.0,0.0,31
7,1,1,10,17,129,19.0,0.0,36
7,1,1,10,10,102,37.0,0.0,36
7,1,1,10,11,129,10.0,0.0,64
7,1,1,10,279,89,80.0,0.0,36
7,1,1,10,36,126,16.0,0.0,20
7,1,1,10,12,140,39.0,0.0,32
7,1,1,10,18,145,14.0,0.0,36
7,1,1,10,6,56,25.0,0.0,43
7,1,1,10,2,79,10.0,0.0,35
7,1,1,10,18,129,10.0,0.0,36
7,1,1,10,2,53,10.0,0.0,36
7,1,1,10,39,118,68.0,0.0,36
7,1,1,10,4,140,17.0,0.0,35
7,1,1,10,38,68,0.0,0.0,36
7,1,1,10,10,68,23.0,0.0,36
7,1,1,10,92,93,80.0,0.0,36
7,1,1,10,22,28,80.0,0.0,24
7,1,1,10,10,129,10.0,0.0,30
7,1,1,10,64,79,10.0,0.0,61
7,1,1,10,7,79,15.0,0.0,36
7,1,1,10,8,145,0.0,0.0,36
